date,startup_name,industry,city,investors,investment_type,amount_usd,year,month
2019-08-23,Tala,Finance,Santa Monica,RPS Ventures,Series Funding,110000000.0,2019.0,8.0
2019-08-22,INDwealth,Finance,Gurgaon,Tiger Global Management,Venture Round,15000000.0,2019.0,8.0
2019-08-21,HungerBox,Food and Beverage,Bengaluru,One97 Communications Ltd.,Series Funding,6590000.0,2019.0,8.0
2019-08-23,AdmitKard,EdTech,Noida,Growth DNA,Seed Round,1000000.0,2019.0,8.0
2019-08-19,Grofers,eCommerce,Gurgaon,SoftBank,Series Funding,70000000.0,2019.0,8.0
2019-08-27,Rapido Bike Taxi,Transportation,Bengaluru,Westbridge Capital,Series Funding,3900000000.0,2019.0,8.0
2019-07-02,RenewBuy,Finance,Gurgaon,"Lok Capital, IIFL Wealth",Series Funding,19000000.0,2019.0,7.0
2019-07-02,Atlan,Information Technology,Singapore,WaterBridge Ventures,Pre-Series A,2500000.0,2019.0,7.0
2019-07-01,WizCounsel,Compliance,Delhi,Kapil Dev,Angel,145000.0,2019.0,7.0
2019-07-03,Ola Cabs,Transport,Kormangala,"DIG Investment Ab, Deshe Holdings, Samih Toukan and Hussam Khoury",Series Funding,1000000.0,2019.0,7.0
2019-07-01,Uniphore,Artificial Intelligence,Taramani,March Capital Partners,Series Funding,38080000.0,2019.0,7.0
2019-07-04,Daalchini Technologies,Food and Beverage,Delhi,Artha Venture,Seed Round,500000.0,2019.0,7.0
2019-07-10,"""BYJU\\'S""",EdTech,Bengaluru,Qatar Investment Authority,Private Equity Round,150000000.0,2019.0,7.0
2019-07-11,Moglix,eCommerce,Singapore,"Composite Capital Management, Sequoia Capital India, Tiger Global Management",Series Funding,60000000.0,2019.0,7.0
2019-07-10,Ezyhaul,Tech,Singapore,Undisclosed,Series Funding,16000000.0,2019.0,7.0
2019-07-10,Indus OS,Tech,Andheri,Ventureast,Series Funding,5750000.0,2019.0,7.0
2019-07-10,HealthAssure,Health Care,Mumbai,Blume Ventures,Series Funding,2500000.0,2019.0,7.0
2019-07-09,House of Msasaba,Luxury Label,Mumbai,Binny Bansal,Series Funding,1000000.0,2019.0,7.0
2019-07-08,Board Infinity,EdTech,Chembur,Multiple Angel Investors,Angel Round,319605.0,2019.0,7.0
2019-06-05,NoBroker,eCommerce,Bengaluru,General Atlantic,Series Funding,51000000.0,2019.0,6.0
2019-06-04,Bira91,Food and Beverage,Delhi,Anicut Capital,Debt Funding,10000000.0,2019.0,6.0
2019-06-03,FabHotels,eCommerce,Gurgaon,"Goldman Sachs, Accel Partners and Qualcomm",,4889975.54,2019.0,6.0
2019-06-03,Avail Finance,Finance,Bengaluru,Matrix Partners,Series Funding,9000000.0,2019.0,6.0
2019-06-04,BharatPe,Finance,Delhi,Insight Partners,Series Funding,75000000.0,2019.0,6.0
2019-06-04,Recykal,Waste Management Service,Hyderabad,"Triton Investment Advisors, Pidilite Industries director Ajay Parekh",pre-Series A,26000000.0,2019.0,6.0
2019-06-03,Agara Labs,Deep-Tech,Bengaluru,Blume Ventures and RTP Global,pre-Series A,2500000.0,2019.0,6.0
2019-06-06,Sistema.bio,Agriculture,Nairobi,"Shell Foundation, DILA CAPITAL, Engie RDE Fund, EcoEnterprise Fund, EDFIMC (ElectriFI), Endeavor Catalyst Fund, CoCapital, Triodos, Alpha Mundi, and Lendahand",,2739034.68,2019.0,6.0
2019-06-06,Chakr Innovation,Energy,Delhi,IAN Fund,Series Funding,26000000.0,2019.0,6.0
2019-06-06,Pratilipi,Digital Media,Bengaluru,Qiming Venture Partners,Series Funding,15109500.0,2019.0,6.0
2019-06-10,Bolo App,Digital Media,Bengaluru,Nexus Venture Partners,Seed Funding,430200.0,2019.0,6.0
2019-06-10,OkCredit,Finance,Haryana,Tiger Global Management,Series Funding,15500000.0,2019.0,6.0
2019-06-06,Biz2Credit,Finance,New York,WestBridge Capital,Series Funding,52000000.0,2019.0,6.0
2019-06-08,Vogo Automotive Pvt. Ltd.,Transportation,Karnataka,Alteria Capital,Debt Funding,3584000.0,2019.0,6.0
2019-06-04,Leegality,Services,Mumbai/Bengaluru,Mumbai Angels,Series Funding,3400000.0,2019.0,6.0
2019-05-06,Saahas Zero Waste,Waste Management Service,Bengaluru,C4D Partners,Venture - Series Unknown,868600.0,2019.0,5.0
2019-05-01,BlackBuck,Transport,Bengaluru,"Goldman Sachs Investment Partners and Silicon Valley-based Accel, Wellington, Sequoia Capital, B Capital, LightStreet, Sands Capital and International Finance Corporation,",Series Funding,150000000.0,2019.0,5.0
2019-05-02,Zenoti,Saas,Hyderabad,Tiger Global Management,Series Funding,50000000.0,2019.0,5.0
2019-05-28,Ather Energy,Automobile,Bengaluru,Sachin Bansal,Series Funding,51000000.0,2019.0,5.0
2019-05-28,FreshVnF,Agtech,Mumbai,Equanimity Ventures,Seed Round,140000000.0,2019.0,5.0
2019-05-30,GlowRoad,eCommerce,Bengaluru,"Korea Investment Partners, Vertex Ventures",Series Funding,11500000.0,2019.0,5.0
2019-05-31,Bira91,Food and Beverage,Delhi,Sixth Sense Ventures,Series Funding,5600000.0,2019.0,5.0
2019-04-16,Kuvera,Finance,Bengaluru,Eight Roads,Series Funding,45000000.0,2019.0,4.0
2019-04-12,Medlife,eCommerce,Bengaluru,Prasid Uno Family Trust,Private Equity,17000000.0,2019.0,4.0
2019-04-10,Kabadiwala,eCommerce,Bhopal,"Unilever, Beehive Capital Advisor, ABCOM Investments, Parekh Marine Transport,",Private Equity,430665.0,2019.0,4.0
2019-04-13,Tripoto,Social Media,Delhi,"Orchid India, Hornbill Orchid India Fund, Chiratae Ventures (formerly IDG Ventures), 3one4 Capital, Lasmer NV",Series Funding,3591375.0,2019.0,4.0
2019-04-12,Azah,Health and Wellness,Gurgaon,Unnamed angel investors,Seed Funding,200000.0,2019.0,4.0
2019-04-11,Setu,Finance,Bengaluru,Lightspeed India Partners,Seed Funding,3500000.0,2019.0,4.0
2019-04-10,Toppr,Edtech,Mumbai,Milestone,Debt and Preference capital,6320820.0,2019.0,4.0
2019-04-10,Craftsvilla,eCommerce,Mumbai,Supera Pte Ltd,Inhouse Funding,2443495.0,2019.0,4.0
2019-04-10,Unacademy,Edtech,Bengaluru,Kalyan Krishnamurthy,Seed/Angel Funding,307000.0,2019.0,4.0
2019-04-11,CleverTap,SaaS,Mumbai,"Sequoia India, Tiger Global Management, Accel Partners",Series Funding,26000000.0,2019.0,4.0
2019-04-19,My Healthcare,eCommerce,Bengaluru and Gurugram,Sixth Sense Ventures,Series Funding,3000000.0,2019.0,4.0
2019-04-17,Shuttl,Transportation,Gurgaon,New Atlantic Ventures,Venture Round,5000000.0,2019.0,4.0
2019-04-17,Increff,Technology,Bengaluru,"021 Capita, Binny Bansal",Series Funding,3000000.0,2019.0,4.0
2019-02-08,Zilingo,eCommerce,India/Singapore,"Sequoia Capital and Temasek Holdings, EDBI, Burda Principal Investments, and Sofina",Series Funding,226000000.0,2019.0,2.0
2019-02-13,NanoClean Global,Nanotechnology,Delhi,"LetsVenture, PitchRight Venture, 91SpringBoard, AL Nour International Holdings and Mark V Investments",Series Funding,600000.0,2019.0,2.0
2018-02-14,OyoRooms,Hospitality,Gurgaon,DiDi Chuxing,Equity,100000000.0,2018.0,2.0
2019-01-03,CarDekho,Automobile,Jaipur,"Sequoia India, Hillhouse Capital, Alphabet\\xe2\\x80\\x99s growth investment arm Capital G and Axis Bank",Series Funding,110000000.0,2019.0,1.0
2019-01-04,Vyome Therapeutics Inc.,Health and Wellness,India/US,"Iron Pillar, Perceptive Advisors, Romulus Capital and Kalaari Capital",Series Funding,22000000.0,2019.0,1.0
2019-01-04,Samunnati Financial Intermediation & Services Pvt. Ltd,Finance,Chennai,"MASSIF, a Dutch government fund",Debt-Funding,5000000.0,2019.0,1.0
2018-12-04,Manch,Social Media,Delhi,Stellaris Venture Partners,Seed Funding,700000.0,2018.0,12.0
2018-12-01,UrbanClap Technologies Pvt. Ltd,Services Platform,Delhi,Steadview Capital and Vy Capital.,Series Funding,50000000.0,2018.0,12.0
2018-12-02,Guiddoo,Travel Tech,Mumbai,Individual Investors,Pre-Series A,800000.0,2018.0,12.0
2018-12-02,Career Anna,Online Education,Gurgaon,Individual Investors,Pre-Series A,572000.0,2018.0,12.0
2018-12-04,Nagpur Wholesale,Online Marketplace,Nagpur,Omphalos Ventures India LLP,Seed Funding,143000.0,2018.0,12.0
2018-12-06,ShopKirana,B2B,Indore,"Info Edge, AET Fund, Akatsuki and Incubate Fund from Japan and Better Capital AngelList syndicate.",Seed Funding,2000000.0,2018.0,12.0
2018-12-06,BuildSupply,"SaaS, Ecommerce",Gurgaon,"Venture Highway, GREE Ventures, Space Matrix, Individual Investors",Series Funding,3500000.0,2018.0,12.0
2018-11-01,GoDesi,Food and Beverage,Bengaluru,Lead Angels Network,Seed/Angel Funding,138995.0,2018.0,11.0
2018-11-03,Veritas Finance Ltd.,NBFC,Chennai,"Norwest Venture Partners, CDC Group, the UK\\xe2\\x80\\x99s Development Finance Institution and P Surendra Pai",Series Funding,27799000.0,2018.0,11.0
2018-11-06,Meesho,eCommerce,Bengaluru,"Shunwei Capital, DST Partners and RPS Ventures",Series Funding,50000000.0,2018.0,11.0
2018-11-08,Mobile Premier League,Gaming,Bengaluru,Undisclosed,Series Funding,500000.0,2018.0,11.0
2018-11-08,A&R Bon Vivants,Food,Jaipur,"RB Investments, Singapore",Equity,1000000.0,2018.0,11.0
2018-11-12,Blackbuck,Food Tech,"New York, Bengaluru",Tiger Global,Series Funding,1000000.0,2018.0,11.0
2018-11-12,MilkBAsket,Food,Delhi,Mayfield Fund,Series Funding,1300000.0,2018.0,11.0
2018-11-13,DriveU,Transport,Bengaluru,Stevens Creek Ventures,Mezzanine,1000000.0,2018.0,11.0
2018-11-14,CleanseCar,Services,Bengaluru,Venture Catalysts,Seed/Angel Funding,500000.0,2018.0,11.0
2018-11-19,Automation Anywhere,Automation,California,SoftBank,Series Funding,300000000.0,2018.0,11.0
2018-11-20,HealthifyMe,Health and Wellness,Bengaluru,"Sistema Asia Fund, VC Samsung NEXT, Chiratae Ventures, Inventus Capital, Blume Ventures and Innoven Capital.",Series B (Extension),6000000.0,2018.0,11.0
2018-11-21,Genius Corner,Education,Noida,Individual investors,Seed Funding,278000.0,2018.0,11.0
2018-11-22,Aavishkaar-Intellecap Group,Investment,Mumbai,Teachers Insurance and Annuity Association (TIAA),Equity Based Funding,31000000.0,2018.0,11.0
2018-11-23,Signzy,Financial Tech,Mumbai/Bengaluru,"Stellaris Venture Partners and Kalaari Capital, Rajan Anandan from Google, Dilip Khandwelwal from SAP Labs India, and Amrish Rau from PayU India",Series Funding,3400000.0,2018.0,11.0
2018-11-24,Engineer.ai,Software,India/US,"Lakestar and Jungle Ventures, SoftBank",Series Funding,29500000.0,2018.0,11.0
2018-11-25,InCred Finance,Finance,India,"Paragon Partners, Individual Investors",Private Equity,42000000.0,2018.0,11.0
2018-11-25,Roposo,Social Media,Delhi,Bertelsmann India Investments,Series Funding,1700000.0,2018.0,11.0
2018-10-02,Origo Commodities India Pvt. Ltd,Logistics,Hyderabad,"Cooperative Oikocredit, Caspian and Hivos-Triodos Fund",Seed/Angel Funding,11000000.0,2018.0,10.0
2018-10-04,Grover Zampa,Food,Mumbai,Ravi Viswanathan,Private Equity,8200000.0,2018.0,10.0
2018-10-05,Droom,Automobile,Gurgaon,ZigExN,Series Funding,3000000.0,2018.0,10.0
2018-10-11,Innov8,Real Estate,Delhi,Credence Family Office,Pre-Series A,4000000.0,2018.0,10.0
2018-10-12,Blackbuck,Logistics Tech,Bengaluru,Sequoia Capital India,Private Funding,14680000.0,2018.0,10.0
2018-10-12,LetsTransport,Logistics Tech,Bengaluru,Fosun International,Series Funding,12000000.0,2018.0,10.0
2018-09-01,Netmeds,Consumer Internet,Chennai,"Sistema Asia Fund, Sistema JSFC and Tanncam Investment",Private Equity,35000000.0,2018.0,9.0
2018-09-03,Udaan,B2B Platform,Bengaluru,DST Global and Lightspeed Venture Partners\\xe2\\x80\\x99 global fund.,Private Equity,225000000.0,2018.0,9.0
2018-09-03,Daily hunt,Consumer Internet,Bengaluru,Falcon Edge,Private Equity,6390000.0,2018.0,9.0
2018-09-04,3HCare,Healthcare,Delhi,,Seed/Angel Funding,1000000.0,2018.0,9.0
2018-09-05,Nykaa,Consumer Internet,Mumbai,Lighthouse,Private Equity,157200000.0,2018.0,9.0
2018-09-06,Dream11,Consumer Internet,Mumbai,"Tencent, Kalaari Capital and Private equity firm Multiples Alternate Asset Management",Private Equity,100000000.0,2018.0,9.0
2018-09-10,MamaEarth,Healthcare,Gurgaon,Stellaris Ventures & Others,Private Equity,4000000.0,2018.0,9.0
2018-09-11,AutoGrid,Technology,Bengaluru,"CLP Holdings Group, Innogy, \\xc3\\x98rstead, and Tenaska",Private Equity,32000000.0,2018.0,9.0
2018-09-11,Pharmeasy,Consumer Internet,Mumbai,InnoVen Capital,Debt Funding,5500000.0,2018.0,9.0
2018-09-11,Upwards,Fin-Tech,Mumbai,"Shunwei Capital,Quotient, Mayfield & Others",Private Equity,5000000.0,2018.0,9.0
2018-09-12,Kissht,Fin-Tech,Mumbai,"Vertex Ventures Southeast Asia (SEA) and India and Sistema Asia Fund, Fosun RZ Capital, Ventureast, and Endiya Partners.\\n\\n",Private Equity,30000000.0,2018.0,9.0
2018-08-01,dishq,Food-Tech,Bengaluru,"Farm To Fork, Arts Alliance, The Syndicate Fund, Sven Hensen, Zeroth and Artesian Venture Partners",Seed/Angel Funding,400000.0,2018.0,8.0
2018-08-02,Samosa Labs,Consumer Internet,Hyderabad,Xiaomi and Sequoia Capital India,Private Equity,7000000.0,2018.0,8.0
2018-08-03,ZiffyHomes,Consumer Internet,Gurgaon,Y Combinator,Private Equity,120000.0,2018.0,8.0
2018-08-07,My OmNamo,Consumer Internet,Mumbai,,Seed/Angel Funding,1000000.0,2018.0,8.0
2018-08-07,ShopX,Consumer Internet,Bengaluru,Fung Strategic Holdings,Private Equity,35000000.0,2018.0,8.0
2018-08-07,MakeMyTrip,Consumer Internet,Gurgaon,MakeMyTrip Limited,Private Equity,10000000.0,2018.0,8.0
2018-08-08,Hansel io,Consumer Internet,Bengaluru,Vertex Ventures,Seed/Angel Funding,4000000.0,2018.0,8.0
2018-08-08,Metro Bikes,Consumer Internet,Bengaluru,"Sequoia Capital India Advisors, Accel Partners and G Raghunandan",Private Equity,12200000.0,2018.0,8.0
2018-08-08,Phone Pe,Consumer Internet,Bengaluru,Flipkart,Private Equity,66000000.0,2018.0,8.0
2018-08-09,quizizz,Ed-Tech,Bengaluru,"Nexus Venture Partners, Prime Venture Partners and Others",Seed/Angel Funding,3000000.0,2018.0,8.0
2018-08-09,Happy EMI,Fin-Tech,Bengaluru,AJ Ventures and Jain International Trade Organisation (JITO),Seed/Angel Funding,1000000.0,2018.0,8.0
2018-08-13,Inthree,Consumer Internet,Chennai,"Ventureast, Orios Venture Partners and the IAN Fund",Seed/Angel Funding,4000000.0,2018.0,8.0
2018-08-13,Observe AI,Technology,Bengaluru,"Nexus Venture Partners, MGV, Liquid 2 Ventures, Hack VC, Emergent Ventures and Y Combinator",Private Equity,8000000.0,2018.0,8.0
2018-08-16,Enakshi,Consumer Internet,Ahmedabad,,Seed/Angel Funding,114811.0,2018.0,8.0
2018-08-17,EazyDiner,Consumer Internet,Gurgaon,Denlow Investment Trust and Beenext,Private Equity,5850000.0,2018.0,8.0
2018-08-20,Finzy,Finance,Bengaluru,,Seed/Angel Funding,1000000.0,2018.0,8.0
2018-08-20,RawPressery,Consumer Internet,Mumbai,Alteria Capital,Debt Funding,4800000.0,2018.0,8.0
2018-08-22,Pi Ventures,Technology,Bengaluru,CDC Group plc\\xc2\\xa0,Private Equity,6000000.0,2018.0,8.0
2018-08-22,Revv,Consumer Internet,Gurgaon,"Hyundai, Edelweiss and Beenext, Dream Incubator, Sunjay Kapoor and Telama Investment",Private Equity,14270000.0,2018.0,8.0
2018-08-26,ZestMoney,Consumer Internet,Bengaluru,"Xiaomi,PayU, Ribbit Capital and Omidyar Network",Private Equity,13400000.0,2018.0,8.0
2018-08-26,Shubh Loans,Fin-Tech,Bengaluru,"Saama Capital, SRI Capital, Beenext, and Pravega Ventures",Private Equity,4200000.0,2018.0,8.0
2018-08-27,MyUpchar,Healthcare,Delhi,"Nexus Venture Partners, Omidyar Network and Shunwei Capital",Private Equity,5000000.0,2018.0,8.0
2018-08-28,Narvar,IT,Bengaluru,Accel (formerly known as Accel Partners),Private Equity,3000000.0,2018.0,8.0
2018-08-30,True North,Finance,Mumbai,,Private Equity,600000000.0,2018.0,8.0
2018-07-02,Biryani By Kilo,Consumer Internet,Gurgaon,Ajay Relan and Vinay Mittal,Seed/Angel Funding,1000000.0,2018.0,7.0
2018-07-04,Anchanto,IT,Pune,MDI Ventures & Telkom Indonesia,Private Equity,4000000.0,2018.0,7.0
,Loan Tap,Consumer Internet,Mumbai,"Shunwei Capital, Tuscan Ventures, Ashish Goenka, VC firms India Quotient and Kae Capital",Private Equity,6250000.0,,
2018-07-06,PolicyBazaar,Consumer Internet,Gurgaon,Info Edge (India) Ltd and Temasek,Private Equity,27700000.0,2018.0,7.0
2018-07-09,zippserv,Consumer Internet,Bengaluru,Info Edge (India) Ltd,Seed/Angel Funding,440000.0,2018.0,7.0
2018-07-09,Groww,Consumer Internet,Bengaluru,"Insignia Ventures Partners, Lightbridge Partners & Kairos",Seed/Angel Funding,1100000.0,2018.0,7.0
2018-07-10,Avenue Growth,Consumer Internet,Gurgaon,"Avtar Monga, chief operating office at IDFC Bank, Aditya Malik & Others",Seed/Angel Funding,437000.0,2018.0,7.0
2018-07-10,Kinara Capital,Finance,Bengaluru,ResponsAbility,Private Equity,5000000.0,2018.0,7.0
2018-07-10,Shop 101,Consumer Internet,Mumbai,"Stellaris Venture Partners, Vy Capital, Raghunandan G, and Ramakant Sharma",Private Equity,5000000.0,2018.0,7.0
2018-07-11,Sambandh,Consumer Internet,Rourkela,Base of Pyramid Asia (BOPA) Pte Ltd,Private Equity,2500000.0,2018.0,7.0
2018-07-12,19th mile,IT,Gurgaon,"Rishi Vasudev, Excelsior Investments, Ritesh Vohra, Praveer Kumar, Prashant Gupta and Others",Seed/Angel Funding,180000.0,2018.0,7.0
2018-07-12,5th Vital,Healthcare,Bengaluru,Brand Capital and Others,Seed/Angel Funding,500000.0,2018.0,7.0
2018-07-13,MEngage,Healthcare,Jaipur,"Siddharth Agarwal, Mahavir Sharma, Amit Singal, 100 Co-founders Lab and others.",Seed/Angel Funding,175000.0,2018.0,7.0
2018-07-17,Ofbusiness,Finance,Gurgaon,"Creation Investments, Falcon Edge, Matrix Partners India and Zodius Capital",Private Equity,29000000.0,2018.0,7.0
2018-07-17,Cars24,Consumer Internet,Gurgaon,"Kingsway FCI Fund, KCK Global & Others",Private Equity,49700000.0,2018.0,7.0
2018-07-18,The Ken,Consumer Internet,Bengaluru,Omidyar Network & Others,Seed/Angel Funding,1500000.0,2018.0,7.0
2018-07-19,Book My Show,Consumer Internet,Mumbai,"TPG Growth, The Rise Fund & Others",Private Equity,100000000.0,2018.0,7.0
2018-07-20,HousingMan,Consumer Internet,Bengaluru,,Seed/Angel Funding,1500000.0,2018.0,7.0
2018-07-21,PaySense,Consumer Internet,Mumbai,PayU & Others,Private Equity,18000000.0,2018.0,7.0
2018-07-23,VTION,Technology,Gurgaon,"AngelList, Rahul Khanna, Rajeev Arora and Ram Ramsundar.",Seed/Angel Funding,280000.0,2018.0,7.0
2018-07-23,Log9 Materials,Technology,Bengaluru,"Metaform Ventures, Hemant Luthra, Micro venture capital firm GEMS Partners and Others",Seed/Angel Funding,436000.0,2018.0,7.0
2018-07-24,kidovators,Ed-Tech,Bengaluru,Gray Matters,Seed/Angel Funding,180000.0,2018.0,7.0
2018-07-24,Digit,Consumer Internet,Pune,Fairfax,Private Equity,45000000.0,2018.0,7.0
2018-07-25,Black Soil,Finance,Mumbai,"Allcargo Logistics, Navneet Education and Mahavir Agency",Private Equity,17000000.0,2018.0,7.0
2018-07-25,Trell,Consumer Internet,Bengaluru,"BeeNext , WEH Ventures and Sprout Ventures",Seed/Angel Funding,1250000.0,2018.0,7.0
2018-07-25,iqlect,Technology,Bengaluru,Ventureast and Exfinity,Seed/Angel Funding,2500000.0,2018.0,7.0
2018-07-26,Entropik,IT,Bengaluru,"Bharat Innovation, IDFC-Parampara Capital, Arthavida Ventures, Jitendra Gupta & Others",Seed/Angel Funding,1100000.0,2018.0,7.0
2018-07-26,TheCapitalNet,Fin-Tech,Hyderabad,Lindwall Family Investments LLC (LFI),Private Equity,500000.0,2018.0,7.0
2018-07-30,Shuttl,Consumer Internet,Gurgaon,Amazon Alexa Fund & Dentsu Ventures,Private Equity,11000000.0,2018.0,7.0
2018-07-30,Cure Fit,Consumer Internet,Bengaluru,"IDG Ventures, Accel Partners, Kalaari Capital and Others",Private Equity,120000000.0,2018.0,7.0
2018-07-31,Five Star Group,Fin-Tech,Chennai,"TPG, Norwest Venture Partners, Sequoia Capital & Matrix Partners",Private Equity,100000000.0,2018.0,7.0
2018-07-31,Healthsignz,Healthcare,Hyderabad,Kantilal Patel,Seed/Angel Funding,5000000.0,2018.0,7.0
2018-06-01,CoinTribe,Finance,Gurgaon,"Sabre Partners, Puneet Dalmia & Others",Private Equity,10000000.0,2018.0,6.0
2018-06-04,Digiconectt,Technology,Bengaluru,Aspire Logistics LLC,Seed/Angel Funding,125000.0,2018.0,6.0
